exp,v0,thw0,x_tar,leave_road,collision,braking_pre,overtaking_post,braking_post,brake_steer_post
0,25,0.668,16.7,0.719,0.094,0.0,0.125,0.0,0.062
1,20,0.71,14.2,0.094,0.062,0.0,0.656,0.0,0.188
2,15,0.78,11.7,0.0,0.875,0.0,0.125,0.0,0.0
3,10,0.92,9.2,0.0,1.0,0.0,0.0,0.0,0.0
4,25,1.168,29.2,0.688,0.0,0.0,0.219,0.0,0.094
5,20,1.21,24.2,0.0,0.0,0.0,0.656,0.0,0.344
6,15,1.28,19.2,0.0,0.0,0.0,0.906,0.031,0.062
7,10,1.42,14.2,0.0,0.0,0.0,0.0,1.0,0.0
8,25,1.668,41.7,0.688,0.0,0.0,0.188,0.0,0.125
9,20,1.71,34.2,0.031,0.0,0.0,0.5,0.0,0.469
10,15,1.78,26.7,0.0,0.0,0.0,0.781,0.062,0.156
11,10,1.92,19.2,0.0,0.0,0.0,0.0,1.0,0.0
12,25,2.168,54.2,0.562,0.0,0.0,0.25,0.0,0.188
13,20,2.21,44.2,0.0,0.0,0.0,0.562,0.031,0.406
14,15,2.28,34.2,0.0,0.0,0.0,0.562,0.344,0.094
15,10,2.42,24.2,0.0,0.0,0.0,0.0,1.0,0.0
16,25,2.668,66.7,0.469,0.0,0.0,0.406,0.0,0.125
17,20,2.71,54.2,0.0,0.0,0.0,0.562,0.031,0.406
18,15,2.78,41.7,0.0,0.0,0.0,0.156,0.562,0.281
19,10,2.92,29.2,0.0,0.0,0.0,0.0,1.0,0.0
20,25,3.168,79.2,0.438,0.0,0.031,0.438,0.0,0.094
21,20,3.21,64.2,0.031,0.0,0.0,0.594,0.0,0.375
22,15,3.28,49.2,0.0,0.0,0.0,0.188,0.688,0.125
23,10,3.42,34.2,0.0,0.0,0.0,0.0,1.0,0.0
24,25,3.668,91.7,0.531,0.0,0.0,0.375,0.0,0.094
25,20,3.71,74.2,0.0,0.0,0.0,0.562,0.0,0.438
26,15,3.78,56.7,0.0,0.0,0.0,0.25,0.656,0.094
27,10,3.92,39.2,0.0,0.0,0.0,0.0,1.0,0.0
